ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
86,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Other (please specify):,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial",edX;Coursera,7,5,"Developer, back-end",20 to 99 employees,I have a great deal of influence,Investigate,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,NA,Assembly;C;C++;Java;JavaScript;SQL,Assembly;C;C++;Java;JavaScript;SQL,Elasticsearch;H2;MySQL;Oracle;PostgreSQL;Redis;SQLite,Elasticsearch;H2;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS);Firebase,Angular;Spring Boot,Angular;Spring Boot,Spring Framework,Spring Framework,Ant,Ant,IntelliJ IDEA,IntelliJ IDEA,ChromeOS;Fedora;Other Linux-based;Ubuntu,ChromeOS;Fedora;Other Linux-based;Ubuntu,Asana;Jira,Asana;Jira,Skype;Slack;Telegram;Whatsapp,Skype;Telegram;Whatsapp,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",NA,"No, but I plan to soon",Unsure,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,10+ times a week,10+ times a week,10+ times a week,30-60 minutes a day,60-120 minutes a day,Automated testing;Continuous integration (CI) and (more often) continuous delivery,Financial Services,Too long,Neither easy nor difficult,NA
87,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Friend or family member;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Stack Overflow,NA,12,6,"Developer, full-stack","1,000 to 4,999 employees",I have a great deal of influence,Investigate,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,Russian Federation,RUB	Russian ruble,NA,C;C#;C++;F#;HTML/CSS;PowerShell;SQL;TypeScript;VBA,C;C#;C++;HTML/CSS;PowerShell;SQL;TypeScript;VBA,Microsoft Access;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Microsoft Access;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,Microsoft Azure,Microsoft Azure,React,React,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka,Ansible;Docker;GNU GCC;Kubernetes;MSBuild;NuGet,Ansible;Docker;GNU GCC;Kubernetes;MSBuild;NuGet,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Red Hat;Windows;Windows Subsystem for Linux (WSL),Red Hat;Windows;Windows Subsystem for Linux (WSL),Confluence;Jira;Miro,Confluence;Jira;Miro,Mattermost;Skype;Telegram;Whatsapp;Zoom,Mattermost;Telegram,NA,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Good solution,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,People manager,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,10+ times a week,10+ times a week,10+ times a week,Over 120 minutes a day,Over 120 minutes a day,Developer portal or other central places to find tools/services,Financial Services,Appropriate in length,Easy,NA
88,I agree,I am a developer by profession,18-24 years old,"Student, full-time",NA,NA,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum)",How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow,NA,5,NA,NA,NA,NA,Investigate,Ask developers I know/work with;Read ratings or reviews on third party sites like G2 Crowd,"Iran, Islamic Republic of...",NA,NA,C#;C++;Java;PHP;Python;SQL,NA,MariaDB;MySQL;SQLite,NA,Cloudflare,NA,WordPress,Angular;AngularJS;jQuery;React;Vue.js,NA,NA,NA,NA,Visual Studio Code,NA,Android;Ubuntu;Windows,Android;Ubuntu;Windows,GitHub Discussions,NA,NA,NA,ChatGPT,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely","whatever you do, don't fuck up the old experience, don't made changes that make people mad",Yes,Indifferent,Greater efficiency,Neither trust nor distrust,Learning about a codebase,Debugging and getting help,Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
89,I agree,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow",Codecademy;edX;Udemy;Coursera;Udacity,20,14,"Developer, full-stack","1,000 to 4,999 employees",I have a great deal of influence,Given a list,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me,Brazil,BRL	Brazilian real,120000,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;R;Rust;SQL;TypeScript,MySQL;PostgreSQL,Cassandra;MongoDB;MySQL;Neo4J;PostgreSQL;Redis,NA,NA,jQuery,Laravel;Next.js;Vue.js,NA,NA,Composer;Docker;Pip,APT;Cargo;Composer;Docker;npm;Pip;Vite;Yarn,Jupyter Notebook/JupyterLab;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,Ubuntu;Windows,Fedora,Markdown File;Miro;Redmine,Markdown File,Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Signal;Telegram,ChatGPT,ChatGPT;Google Bard AI;Phind;Quora Poe;WolframAlpha,GitHub Copilot,AWS CodeWhisperer;GitHub Copilot,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,Neutral,"I think that AI could improve the quality of SO, but only if it is a partner under human supervision and NOT taking final decisions or creating final content.",Yes,Favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,Project planning;Documenting code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Learning about a codebase;Writing code;Testing code,,NA,NA,NA,NA,NA,Yes,Individual contributor,17,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Agree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,None of these,Healthcare,Too long,Neither easy nor difficult,24345
90,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Professional development or self-paced learning from online courses,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)",How-to videos,NA,NA,NA,NA,NA,NA,NA,NA,Turkey,TRY	Turkish lira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",NA,Yes,Favorable,Increase productivity,Neither trust nor distrust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,I agree,I am a developer by profession,18-24 years old,"Employed, part-time;Student, part-time","Hybrid (some remote, some in-person)",Hobby;School or academic work,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;School (i.e., University, College, etc)",NA,NA,6,NA,"Developer, QA or test",NA,NA,Investigate,Start a free trial;Ask developers I know/work with,Slovakia,NA,NA,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,C;C++;Python;Rust;TypeScript,Dynamodb;PostgreSQL,Dynamodb;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Flask;Node.js;React,NA,.NET (5+) ;CUDA;Flutter;OpenGL;React Native;Xamarin,NA,CMake;GNU GCC;Gradle;npm;Terraform;Unity 3D,npm;Terraform;Unity 3D,Emacs;IntelliJ IDEA;Notepad++;PhpStorm;PyCharm;Vim;Visual Studio Code;VSCodium,Notepad++;PyCharm;Vim;Visual Studio Code;VSCodium,Android;Other Linux-based;Windows;Other (Please Specify):,Windows,Azure Devops;Confluence;Jira;Miro,Confluence;Jira;Miro,Cisco Webex Teams;Discord;Microsoft Teams;Skype;Slack,Discord;Microsoft Teams;Skype,ChatGPT;WolframAlpha,ChatGPT,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",NA,Yes,Indifferent,Other (please explain);Speed up learning,Neither trust nor distrust,Writing code;Documenting code,Debugging and getting help,Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
92,I agree,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Blogs with tips and tricks;Books;Written Tutorials;Stack Overflow,NA,18,15,"Developer, front-end",100 to 499 employees,I have some influence,Investigate,Visit developer communities like Stack Overflow;Other (please specify):;Read ratings or reviews on third party sites like G2 Crowd,Latvia,EUR European Euro,50000,C#;HTML/CSS;JavaScript;Swift,C#;HTML/CSS;Swift,NA,NA,NA,NA,AngularJS;ASP.NET CORE;Drupal;jQuery;Node.js;Vue.js,Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8);SwiftUI;Xamarin,.NET (5+) ;SwiftUI,pnpm;Visual Studio Solution;Yarn,pnpm;Yarn,Rider;Visual Studio Code;Xcode,Rider;Visual Studio Code;Xcode,iOS;iPadOS;MacOS,Android;iOS;iPadOS;MacOS;Windows,NA,NA,Discord;Google Chat;Mattermost;Microsoft Teams;Signal;Telegram;Zoom,Mattermost;Microsoft Teams;Signal;Telegram,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,NA,Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Testing code;Committing and reviewing code,Writing code;Documenting code;Debugging and getting help,Learning about a codebase;Project planning;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,Yes,Individual contributor,15,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,1-2 times a week,6-10 times a week,10+ times a week,30-60 minutes a day,30-60 minutes a day,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,53545
93,I agree,I am a developer by profession,25-34 years old,"Employed, part-time",Remote,Hobby,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):,NA,NA,15,9,Cloud infrastructure engineer,100 to 499 employees,I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Other (please specify):;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,Australia,AUD	Australian dollar,110000,PowerShell;TypeScript,PowerShell;Rust;TypeScript,NA,NA,Amazon Web Services (AWS);OpenShift,Amazon Web Services (AWS);OpenShift,React,React,.NET (5+) ,.NET (5+) ;CUDA;TensorFlow,Kubernetes;Maven (build tool);npm;Webpack,Kubernetes;npm,Notepad++;Vim,Notepad++;Vim;WebStorm,Debian;Fedora;Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Confluence;Jira,Confluence;Jira,Microsoft Teams,Microsoft Teams,NA,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely","I mean it already tries to suggest similar questions and like that I imagine any suggestions will likely be ill-fitting and ignored, so it wont affect me, do what you want.","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,9,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,15-30 minutes a day,Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,72714
94,I agree,I am a developer by profession,18-24 years old,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",Hobby;Professional development or self-paced learning from online courses;School or academic work,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow;Interactive tutorial",NA,8,NA,"Developer, back-end",NA,NA,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,Netherlands,NA,NA,C;C++;JavaScript;Kotlin;Python,Python,MongoDB;SQLite,Elasticsearch;InfluxDB;MongoDB,Heroku,NA,NA,NA,CUDA;JAX;NumPy;Opencv;Pandas;Torch/PyTorch,Apache Kafka;Apache Spark;CUDA;JAX;NumPy;Opencv;Pandas;Torch/PyTorch,LLVM's Clang;Make;npm;Pip,LLVM's Clang;Make;npm;Pip;Vite,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Debian;Windows,Azure Devops;Jira;Markdown File;Notion,Azure Devops;Doxygen;Jira;Markdown File;Notion,Discord;Microsoft Teams;Slack;Whatsapp;Zoom,Discord;Microsoft Teams;Slack;Whatsapp,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Daily or almost daily,Yes,Daily or almost daily,"Yes, somewhat",Improve the related questions recommenders,Yes,Favorable,Speed up learning,Highly trust,Learning about a codebase;Writing code,Testing code,Project planning;Documenting code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
95,I agree,I code primarily as a hobby,Under 18 years old,I prefer not to say,NA,NA,Something else,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Stack Overflow,NA,8,NA,NA,NA,NA,NA,NA,United States of America,NA,NA,Java;JavaScript;Kotlin;Lua;PHP;Python,JavaScript;Kotlin;Python,SQLite,NA,Digital Ocean,NA,Django;Flask,Flask,GTK;NumPy;Opencv,GTK,APT;Cargo;CMake;Gradle;LLVM's Clang;Make;Meson;MSBuild;Pip,APT;Gradle;Pip,Android Studio;Geany;Visual Studio Code,Android Studio;Visual Studio Code,Android;Debian;Windows;Other (Please Specify):,Android;Other (Please Specify):,GitHub Discussions,NA,Google Chat,Google Chat,ChatGPT;WolframAlpha,ChatGPT;WolframAlpha,Replit Ghostwriter,GitHub Copilot,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",NA,"No, but I plan to soon",Indifferent,NA,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
96,I agree,I am a developer by profession,18-24 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Hackathons (virtual or in-person);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Click to write Choice 20;Stack Overflow;Interactive tutorial,Other;Coursera,6,2,"Developer, desktop or enterprise applications",I donâ€™t know,I have little or no influence,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Russian Federation,RUB	Russian ruble,30000,Python;SQL,NA,MySQL;PostgreSQL;SQLite,NA,NA,NA,Django;Flask,NA,Flutter;Keras;NumPy;Opencv;Pandas;Qt;Scikit-Learn;TensorFlow,NA,CMake;Pip;Unity 3D;Visual Studio Solution,NA,Android Studio;Notepad++;Qt Creator;Visual Studio Code,NA,Windows,,NA,NA,Telegram,NA,ChatGPT,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",-,Yes,Favorable,Increase productivity,Somewhat trust,Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring,,Collaborating with teammates ,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,371
97,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",Colleague,NA,NA,12,6,"Developer, full-stack","10,000 or more employees",I have little or no influence,NA,Ask developers I know/work with,Germany,EUR European Euro,80800,Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Go;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift;TypeScript,Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Dynamodb;Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;AngularJS;Express;Laravel;Node.js;Spring Boot,Angular;Express;Laravel;Node.js;Spring Boot,Apache Kafka;Quarkus;RabbitMQ;React Native;Spring Framework;SwiftUI,Apache Kafka;Apache Spark;Quarkus;RabbitMQ;React Native;Spring Framework;SwiftUI,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool),Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);Podman,Android Studio;Atom;DataGrip;Eclipse;IntelliJ IDEA;Netbeans;Notepad++;Visual Studio Code;Xcode,DataGrip;Eclipse;IntelliJ IDEA;Visual Studio Code;Xcode,iOS;MacOS;Ubuntu;Windows,iOS;MacOS;Ubuntu;Windows,Asana;Azure Devops;Confluence;GitHub Discussions;Jira;Markdown File;Wikis,Asana;Azure Devops;Confluence;GitHub Discussions;Jira;Markdown File;Wikis,Google Chat;Google Meet;Signal;Skype;Slack;Whatsapp;Zoom,Google Chat;Google Meet;Signal;Slack;Whatsapp;Zoom,Bing AI;ChatGPT,Bing AI;ChatGPT,NA,NA,Collectives on Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",NA,Yes,Favorable,Greater efficiency,Somewhat trust,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Retail and Consumer Services,Too long,Neither easy nor difficult,86528
98,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby,Some college/university study without earning a degree,"Colleague;Online Courses or Certification;On the job training;School (i.e., University, College, etc)",NA,Udemy,10,5,"Developer, full-stack",10 to 19 employees,I have some influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Netherlands,EUR European Euro,NA,HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Java;JavaScript;SQL,H2;MariaDB,MariaDB,NA,NA,Node.js;Spring Boot,Spring Boot;Vue.js,NA,NA,Webpack,Docker;Vite,Eclipse;IntelliJ IDEA;Sublime Text,IntelliJ IDEA;Sublime Text,Ubuntu;Windows,Ubuntu,YouTrack,YouTrack,Discord;Jitsi;Telegram;Whatsapp,Discord;Telegram,NA,NA,NA,NA,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",NA,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,5,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,1-2 times a week,Never,Never,60-120 minutes a day,30-60 minutes a day,DevOps function,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,NA
99,I agree,I am a developer by profession,35-44 years old,"Employed, part-time;Student, part-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Written Tutorials;Click to write Choice 20;Stack Overflow,NA,20,NA,"Developer, desktop or enterprise applications",NA,NA,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Germany,NA,NA,C#;Rust,C#;Rust,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server,NA,NA,ASP.NET CORE,ASP.NET CORE,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET MAUI,Docker;MSBuild;NuGet;Visual Studio Solution,NuGet;Visual Studio Solution,Visual Studio Code,Visual Studio Code,Windows,Windows,Confluence;Jira,NA,Microsoft Teams,NA,Bing AI,Bing AI,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, somewhat","Format questions, detect missing information",Yes,Indifferent,Increase productivity;Greater efficiency;Speed up learning,Somewhat distrust,Documenting code;Testing code;Committing and reviewing code,Writing code;Debugging and getting help,Learning about a codebase;Project planning;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
100,I agree,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",In-person,Hobby;Freelance/contract work,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;Video-based Online Courses;Written-based Online Courses;Certification videos,edX;Udemy;Pluralsight;Coursera;Udacity,12,8,"Developer, full-stack",20 to 99 employees,I have some influence,Other,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Greece,EUR European Euro,28800,C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Dart;Go;Java;JavaScript;PHP;Python;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Cloud Firestore;Firebase Realtime Database;InfluxDB;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Firebase;Google Cloud;Managed Hosting,"Amazon Web Services (AWS);Linode, now Akamai;Managed Hosting;Microsoft Azure",Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress,Express;FastAPI;Flask;Laravel;Node.js,Flutter;Pandas,Flutter;Pandas,Ansible;Composer;Docker;Kubernetes;Maven (build tool);npm;Pip,Composer;Docker;Kubernetes;npm;Pip,Android Studio;DataGrip;IntelliJ IDEA;Notepad++;Visual Studio Code,IntelliJ IDEA;Notepad++,Debian;iOS;Ubuntu;Windows,Debian;iOS;Ubuntu;Windows,Asana;Monday.com;Trello,NA,Discord;Google Meet;Microsoft Teams;Skype;Zoom,Google Meet,Bing AI;ChatGPT,NA,NA,NA,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,Quck suggestions as answers to questions,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,12,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,1-2 times a week,10+ times a week,10+ times a week,Less than 15 minutes a day,Over 120 minutes a day,Microservices;Observability tools;None of these,Retail and Consumer Services,Appropriate in length,Neither easy nor difficult,30842
